RecipeID,RecipeName,Description,recipeProcedure,PhotoURL,Score,UserId,Ingredient,Category,cookTime,prepTime
1,Mediterranean Sea Bass,"It is one of only six species in its family, Moronidae, collectively called the temperate basses. It is both fished and raised commercially, and is considered to be the most important fish currently cultured in the Mediterranean.","Set the racks in the middle and upper thirds of the oven and preheat the oven to 425 F;In a large skillet over medium heat, heat the olive oil until shimmering. Add the onion, garlic and red pepper flakes and cook until golden, stirring occasionally, about 5 minutes.;Add the fennel and cook until the vegetables are soft and translucent, an additional 3 to 5 minutes.;Reduce the heat to medium and add the tomatoes with their juices. Using the back of a wooden spoon, smash the tomatoes and cook for 5 minutes.;Add the basil, wine, olives, 1 teaspoon salt, and 1/8 teaspoon black pepper.;Reduce to low and simmer for 15 minutes, or until the sauce is slightly thickened, while you prepare the fish.;Pat the fillets dry, lightly spray them with cooking spray, and season with salt and pepper.;In a heavy ovenproof skillet over high heat, heat the olive oil until shimmering. Add the fillets, rounded-side down, and cook for 2 minutes.;Carefully flip the fillets with a metal spatula and place the skillet in the oven. Bake until the fish is no longer translucent, 8 to 10 minutes.;Switch the oven to broil and place the skillet on the upper rack. Broil until the tops of the fillets are golden brown, 2 to 4 minutes.;Arrange the fillets on individual plates, spoon on the sauce, and serve.",https://www.skinnytaste.com/wp-content/uploads/2019/05/Mediterranean-Sea-Bass-10.jpg,7.8,1,Bass;Onion;Red Pepper;Olive Oil,Dinner;Spanish;Fish,30,17
3,Air Fryer Basil-Parmesan Salmon,"Even kids will love this quick anSo simple combining a little mayonnaise, basil and Parmesan which creates a delicious crust even the kids can’t resist! d easy meal, perfect for a weeknight meal.","Air Fryer directions:;Preheat air fryer to 400F. Spritz the basket with olive oil.;Season the salmon with lemon juice, salt and pepper.;Mix the mayonnaise with basil and 2 tablespoons Parmesan cheese in a small bowl.;Spread completely over the top of salmon. Sprinkle remaining Parmesan cheese on top.;In batches, air fry 7 minutes, or longer depending on thickness of the salmon.;Oven directions:;Preheat the oven to 425F. Spritz a sheet pan with olive oil.;Season the salmon with lemon juice, salt and pepper.;Mix the mayonnaise with basil and 2 tablespoons Parmesan cheese in a small bowl.;Spread completely over the top of salmon. Sprinkle remaining Parmesan cheese on top.;Bake 10 to 12 minutes, depending on thickness of the salmon.; ",https://www.skinnytaste.com/wp-content/uploads/2019/05/Air-Fryer-Basil-Parmesan-Salmon-8.jpg,5.7,3,Olive Oil;Salmon;Lemon Juice;Pepper;Cheese,Fish;Under 30 minutes;Dinner,40,15
4,Everything Parmesan Crisps,"ParmCrisps are artisan-crafted, crunchy crisps made from 100% real cheese that are full of mouthwatering flavor.","Preheat the oven to 400F.;Pour 2 tablespoon of grated cheese onto a silicone lined baking sheet (highly recommended for this) and lightly pat down with your fingers to make about 4 inches round.;Repeat 3 more times with remaining cheese, leaving 1/2-inch space in between each circle.;Bake 3 minutes, until almost done.;Combine the sesame seeds, onion, garlic and poppy seeds in a small bowl.;Top each with 3/4 teaspoon.;Bake for 5 minutes or until golden and crisp. Cool before eating.",https://www.skinnytaste.com/wp-content/uploads/2019/05/Everything-Parmesan-Crisps-5.jpg,8.5,4,Cheese Silicone;Crisp;Onion;Garlic;Poppy,Snack;Sauces;Itailian,50,20
5,Potato and Green Bean Salad,"Whether eaten warm or out of the fridge, this bright, crunchy potato salad pairs perfectly with grilled meats like pork, steak or chicken.","Cook potatoes in a large pot of salted water until tender, about 25 to 30 minutes.;In a second pot, cover string beans with water and boil until string beans are tender, 6 to 7 minutes. Drain then quickly run under cold water to prevent them from overcooking.;When the potatoes are done, drain.;In a large bowl, combine balsamic, oil, salt and pepper.;Add the potatoes, green beans, scallions and olives. Mix well and serve room temperature.",https://www.skinnytaste.com/wp-content/uploads/2009/02/Potato-and-Green-Bean-Salad-6.jpg,9.5,5,Potato;Green Bean;Scallions;Olive;Combine Balsamic,Salad;Under 30 minutes;Vegetarian,40,25
6,Ham and Swiss Crustless Quiche,"A frittata is like a crustless quiche or an unfolded omelet. It's a favorite of those who can't—or don't want to—make a crust (or use store-bought), or for low-carb, paleo people.","Preheat the to 350F degrees. Spray a pie dish with oil.;Evenly spread the broccoli in the dish and top it evenly with the ham.;Make the custard mixture by whisking together the milk, half and half, eggs, salt, black pepper, and the nutmeg.;Pour the custard into the dish and top with Swiss Cheese.;Bake 35 to 40 minutes, until the center is set.;Cut the quiche into 6 pieces and serve.",https://www.skinnytaste.com/wp-content/uploads/2019/04/Ham-and-Swiss-Crustless-Quiche-5.jpg,8.5,7,Ham;Milk;Egg;Nutmeg;Cheese,Breakfast;Egg;Pork,35,19
7,Strawberries Romanoff,"Strawberries Romanoff is a no-bake, easy and luscious summer dessert. It is the adult version of Strawberries and Cream ",Combine sour cream and brown sugar and mix well. Place about five strawberries in each glass and drizzle each with 2 tablespoons of cream sauce. The cream can be made ahead and be refrigerated for up to 3 days.,https://www.skinnytaste.com/wp-content/uploads/2010/04/Strawberries-Romanoff.jpg,6.6,8,Strawberry;Sour Cream;Brown Sugar,Dessert;Freezer Meals;Snack,30,15
8,Smoked Salmon Breakfast Flatbread,"These everything bagel flatbreads, which are great for breakfast or breakfast-for-dinner combine two of my favorite foods – lox and everything bagel seasoning!","Preheat the oven to 450F. Place a silicone liner on a large baking sheet or spray with oil if using parchment.;In a medium bowl combine the flour, baking powder and salt and whisk well.;Add the yogurt and mix with a fork or spatula until well combined, it will look like small crumbles.;Lightly dust flour on a work surface and remove dough from the bowl, knead the dough a few times until dough is tacky, but not sticky, about 20 turns (it should not leave dough on your hand when you pull away).;Divide into 4 equal balls about 3-3/8 oz each.;Sprinkle a work surface and rolling pin with a little flour roll the dough out into thin ovals 7 to 8 inches in diameter and place on the prepared baking sheet.;Spritz the dough with olive oil. Sprinkle everything bagel seasoning in a 1-inch boarder around the edge.;Combine half of the red onion with olive oil, scatter the onion in the center of each.;Transfer to the oven and bake 10 to 14 minutes, until the crust is golden and crisp.;Remove from oven and dallop cream cheese in the center of each, leaving the edge clear.;Top with tomato, then salmon and top with capers and dill.;Preheat the air fryer to 400F.;When the air fryer is ready, transfer the dough, to the basket and bake until firm and golden, 5 to 6 minutes turning once half way. Repeat with the remaining dough.",https://www.skinnytaste.com/wp-content/uploads/2019/04/Smoked-Salmon-Breakfast-Flatbread-7.jpg,9,9,Salmon;Flour;Yogurt;Olive Oil;Cream Cheese,Fish;Dessert;Breakfast,40,20
9,Ranch Chicken Salad,Bacon Ranch Chicken Salad is a great recipe for using up cold chicken. It’s a chunky chicken salad made with ranch dressing and bits of crumbled bacon thrown in for good measure!,"In a medium bowl combine the buttermilk, mayo, chives, salt, garlic powder, onion powder, parsley, basil and black pepper and mix.;Add the shredded chicken and mix well. Refrigerate until ready to eat.",https://www.skinnytaste.com/wp-content/uploads/2019/04/RANCH-CHICKEN-SALAD-11.jpg,5.1,10,Chicken;ButterMilk;Mayo;Garlic and Onion Powder;Black Pepper,Chicken;Salad;Snack,50,25
10,Avocado Egg Rolls with Sweet and Spicy Dipping Sauce,"Air Fryer Avocado Egg Rolls are inspired by the Cheesecake Factory egg rolls, only healthier because they are not fried.","Air Fryer Directions:;In a medium bowl, combine avocado, lime juice, sundried tomatoes, onion, cilantro, salt and pepper, to taste. Gently toss to combine.;One at a time, place egg roll wrapper on a clean surface, points facing top and bottom like a diamond.;Spoon 14 cup mixture onto the bottom third of the wrapper.;Dip your finger in a small bowl of water and run it along the edges of the wrapper.;Lift the point nearest you and wrap it around the filling. Fold the left and right corners in toward the center and continue to roll into a tight cylinder.;Set aside and repeat with remaining wrappers and filling.;Spray all sides of the egg rolls with oil.;Preheat the air fryer to 400F. In batches, cook 400F for 6 minutes, turning halfway through, or until golden.;Meanwhile, in a small bowl, combine mayonnaise, sweet chili sauce and sriracha and serve on the side for dipping.;To Bake In The Oven:;Preheat the oven to 400F. Spray a sheet pan with oil.;Transfer the egg rolls to the baking sheet and cook until browned and crisp, about 16 to 18 minutes, turning halfway.",https://www.skinnytaste.com/wp-content/uploads/2019/04/Avocado-Egg-Rolls-with-Sweet-and-Spicy-Dipping-Sauce-11.jpg,6.8,11,Avacado;Tomato;Cilantro;Salt;Pepper,Appetizer;Side-dish;Snack,40,16
11,Quickest Cast-Iron Thin Crust Pizza,I’m obsessed with this Super-Quick Cast-Iron Thin Crust Pizza technique made with tortillas instead of dough.,"Preheat oven to 425F.;Spray the oil in a 10-inch cast-iron skillet and warm over medium-high heat. When hot place one tortilla in the pan. Reduce heat to medium and let cook for 1 minute.;Flip the tortilla and cook for an additional minute while you add 2 tablespoons of sauce, spreading it all the way to the tortillas edge.;Remove the pan from the heat and add the cheese or any toppings of your choice, reserving fresh herbs to finish.;Transfer the pan to the oven and bake for 2 to 4 minutes, or until the edges of the tortilla are golden brown but not burned (if youre not using cheese, check on the early side).;Transfer the pan back to the stove and cook for another 1 to 2 minutes over medium heat, until the bottom is browned, but not burned.;Transfer the pizza to a plate and let it cool slightly. Top with fresh herbs, if using.;Repeat with second pizza and serve.",https://www.skinnytaste.com/wp-content/uploads/2019/04/Easy-Tortilla-Thin-Crust-Pizza-4.jpg,5.8,12,Tortilla;Sauce;Fresh Herb,Vegetarian;Dinner;Lunch,35,15
